group_type,group_name,metric,count,min,max,median,mean,std,q25,q75
Genotype,RFX6,percent.mt,3331,0.0,9.970958373668925,2.5339366515837103,2.8966,1.6103,1.6719052224371371,3.8177343294457646
Genotype,TADA2B,nCount_RNA,1138,2066.0,25818.0,6220.5,7288.7179,3558.0057,4845.5,8785.5
Genotype,TADA2B,nFeature_RNA,1138,1288.0,7286.0,3039.5,3232.4077,1026.2593,2477.0,3812.75
Genotype,TADA2B,percent.mt,1138,0.4287245444801715,9.959037378392216,3.8293269454986927,4.1456,2.1841,2.3119870402466365,5.499955873097221
Genotype,TET1,nCount_RNA,1370,2180.0,30553.0,7666.0,8427.4168,3901.9651,5707.25,10094.0
Genotype,TET1,nFeature_RNA,1370,1218.0,7484.0,3409.5,3515.1635,1043.2923,2753.0,4125.75
Genotype,TET1,percent.mt,1370,0.0260705207586521,9.92817912970004,2.2488471546632365,2.6937,1.5785,1.5524842908251986,3.5619998929228736
Genotype,TET1/2/3,nCount_RNA,948,823.0,29687.0,8054.0,8850.6804,4222.7617,5751.25,10822.75
Genotype,TET1/2/3,nFeature_RNA,948,657.0,7458.0,3512.5,3568.0749,1099.0245,2749.5,4230.0
Genotype,TET1/2/3,percent.mt,948,0.0443655723158828,9.918347742555236,3.5388154257545694,3.6954,1.9433,2.149071084079557,4.770241295501405
Genotype,TLE3,nCount_RNA,3259,685.0,30170.0,8531.0,9496.4271,4390.3912,6492.0,11587.0
Genotype,TLE3,nFeature_RNA,3259,576.0,7490.0,3618.0,3758.6818,1111.3649,2981.5,4422.0
Genotype,TLE3,percent.mt,3259,0.0,9.983344763397668,3.2492615314701205,3.5574,1.9261,1.985012117765032,4.784577192242961
Genotype,WT,nCount_RNA,32693,255.0,31845.0,7982.0,8915.0708,4602.9603,5821.0,10996.0
Genotype,WT,nFeature_RNA,32693,202.0,7498.0,3628.0,3709.7875,1184.079,2938.0,4417.0
Genotype,WT,percent.mt,32693,0.0,9.990937924784776,2.7410512737826505,3.0867,1.8008,1.7022149302707137,4.081177520071365
